url,title,description
https://www.runoob.com,菜鸟教程,"菜鸟教程(www.runoob.com)提供了编程的基础技术教程, 介绍了HTML、CSS、Javascript、Python，Java，Ruby，C，PHP , MySQL等各种编程语言的基础知识。 同时本站中也提供了大量的在线实例，通过实例，您可以更好的学习编程。.."
https://www.runoob.com/,菜鸟教程,"菜鸟教程(www.runoob.com)提供了编程的基础技术教程, 介绍了HTML、CSS、Javascript、Python，Java，Ruby，C，PHP , MySQL等各种编程语言的基础知识。 同时本站中也提供了大量的在线实例，通过实例，您可以更好的学习编程。.."
https://www.jyshare.com/,菜鸟工具 - 不止于工具,菜鸟工具，为开发设计人员提供在线工具，网址导航，提供在线PHP、Python、 CSS、JS 调试，中文简繁体转换，进制转换等工具。致力于打造国内专业WEB开发工具，集成开发环境，WEB开发教程。..
https://www.runoob.com/w3cnote/,菜鸟笔记 | 菜鸟教程,菜鸟教程-菜鸟笔记..
https://www.runoob.com/commentslist,笔记列表 | 菜鸟教程,菜鸟教程-笔记列表..
https://www.runoob.com/quiz/html-quiz.html,HTML 测验 | 菜鸟教程,HTML 测验                             知识挑战             通过这些互动问题测试学习情况                                                                                                                                                         ..
https://www.runoob.com/browser-history,我的书签 | 菜鸟教程,"我的书签     数据仅保存在本地浏览器            .bmw-wrap{font-family:system-ui,-apple-system,sans-serif;color:#1a1814;line-height:1.5;max-width:100%}     .bmw-heading{font-size:16px;font-weight:600;margin:0 0 12px;display:flex;align-it.."
https://www.runoob.com/tags/html-reference.html,HTML 标签列表(字母排序) | 菜鸟教程,HTML 参考手册- (HTML5 标准)    按字母顺序排列 New : HTML5新标签    标签 描述   &lt;!--...--&gt; 定义注释   &lt;!DOCTYPE&gt; 定义文档类型   &lt;a&gt; 定义超文本链接   &lt;abbr&gt; 定义缩写   &lt;acronym&gt; 定义只取首字母的缩写，不支持H..
https://www.runoob.com/jsref/jsref-tutorial.html,JavaScript 和 HTML DOM 参考手册 | 菜鸟教程,JavaScript 和 HTML DOM 参考手册..
https://www.runoob.com/cssref/css-reference.html,CSS 参考手册 | 菜鸟教程,CSS 参考手册     菜鸟教程的 CSS 参考手册在所有主流浏览器中测试通过.  CSS 属性  CSS 属性组：    动画   背景   边框和轮廓   框     颜色   内容页的媒体属性   尺寸   盒子模型(新)   盒子模型(旧)     字体   内容生成     网格   超链接     线框     列表   外边距   字幕   多列   内边距   页面媒体   定位     分页   Ruby     语..
